   20   54  120  153  219  253  319  353
   39   80  139  180  239  280  339  380
   37   87  136  187  236  287  336  387
    0   95  101  192  202  289  303  386
    2   64  102  164  202  265  303  365
   42   70  142  170  242  271  341  372
    6   71  106  172  206  272  306  372
   31   32   86  133  192  193  235  299
   40   78  140  178  240  278  340  378
   40   62   63  141  156  157  243  251
   33   89  134  189  235  288  336  388
   21   22   64   65  136  137  157  158
   49   86  148  185  248  285  348  384
   33   65  133  161  232  257  332  353
    4   85  104  185  204  285  304  385
   24   98  197  198  226  297  327  396
   38   74  138  174  238  274  338  374
    9   94  109  193  208  293  308  392
   30   91  130  191  231  292  331  392
   44   87  145  185  246  283  347  381
   46   67  146  166  246  264  347  362
    8   92  108  192  208  291  307  391
   29   62  129  162  230  261  330  361
   46   57  146  156  247  256  347  355
   47   79  143  177  239  275  335  373
    6    7   58  105  106  153  154  204
   16   81  116  181  216  281  316  381
   36   51  135  151  235  251  334  351
   34   78  136  180  239  282  341  384
    9   82  110  182  210  281  310  381
   48   72  148  172  248  271  349  371
   42   69  143  170  243  271  343  371
   22   72  123  172  224  271  324  370
   32   95  132  195  232  296  332  396
   21   22   23   51  104  105  106  151
   39   56  140  156  241  256  342  355
   26   27   77   78   79   80  140  141
    6   61  108  163  209  265  310  367
   40   75  142  174  243  273  344  372
    2   73  101  171  201  270  300  368
   34   35   77   78  143  144  165  166
   17   70  117  170  217  271  317  371
    3   99  103  199  203  299  303  399
   31   89  129  189  226  288  324  388
   41   55  141  154  242  254  342  353
   44   88  144  188  244  289  344  389
   46   63   64  148  159  249  254  255
   12   65  111  163  209  262  307  360
    4   76  104  179  203  282  302  385
   49   59  149  159  249  259  349  359
   18   85  117  185  216  284  316  384
   43   71  143  170  243  270  343  369
    4   73  105  173  206  273  307  373
   29   81  128  182  227  283  326  384
    2   72  102  172  203  272  303  372
   49   79  149  179  249  279  349  379
    7   75  114  115  183  184  222  293
   46   52  146  152  246  253  346  353
   22   95  121  195  220  295  319  395
    3   76  103  175  203  274  304  374
   41   96  140  196  239  296  338  396
   40   85  140  185  240  285  339  385
   32   83  132  183  232  283  333  384
   16   78  117  178  217  278  318  378
   38   77  137  177  236  278  336  378
   40   51  138  151  236  250  333  350
   21   86  120  188  219  290  317  392
   17   93  117  193  217  293  317  393
   23   60  121  159  220  259  318  359
   40   54  141  154  241  254  342  354
   20   21   87  186  229  286  333  386
   36   60  142  143  159  248  249  259
   32   55  132  155  232  256  332  356
   35   90  136  189  236  287  337  386
    2   95  102  196  201  297  300  397
   45   59  144  159  243  258  342  357
   39   66  140  167  240  268  341  369
   30   31   82   83  139  140  190  249
    6   87  106  189  206  290  306  392
    6   69  105  169  205  269  305  369
    2   64  101  163  201  262  300  361
    5   62  106  163  207  263  308  363
    3   84  110  183  217  283  324  382
   14   96  114  196  214  296  314  396
    8   92  112  193  216  294  320  396
   22   81  124  182  227  283  329  384
    8   80  109  179  210  278  311  377
   16   94  114  195  212  296  310  397
   44   63  144  163  243  263  343  363
   15   87  118  187  221  287  324  387
    2   66  101  166  201  266  301  365
   15   89  115  189  215  289  315  389
   39   69  139  170  239  270  338  370
   47   57  146  157  245  257  344  357
   23   91  121  122  194  220  297  319
   49   63  149  165  249  267  349  369
   10   69  111  169  211  269  311  369
   43   81  143  181  243  281  343  381
    1   85  101  184  200  283  300  382
    6   77  106  176  206  276  306  375
   30   85  134  184  238  284  342  384
   41   96  141  197  242  298  342  399
   48   74  148  174  248  274  348  374
   34   52  134  153  233  255  333  356
    2   60  102  159  203  257  303  355
    5   56  105  157  205  258  306  359
   16   62  120  121  165  268  329  371
    7   82  107  184  207  285  306  387
   19   74  119  174  220  274  320  375
   11   66  111  158  159  211  251  252
   36   98  136  197  236  296  335  395
    4   51  105  151  206  250  308  350
   33   34   70   71  142  180  181  182
   38   94  138  194  238  294  338  394
   39   88  140  187  241  287  343  386
   21   54  120  154  220  254  319  354
   33   82  133  185  233  288  333  390
   28   55  128  154  229  254  329  354
   48   82  147  183  246  284  345  385
   16   95  116  195  216  294  316  394
   36   57  136  158  236  259  336  360
   18   85   86  115  116  192  193  213
   47   95  146  197  246  298  345  399
    3   68  103  168  203  269  304  369
   13   99  113  199  212  299  312  399
   34   90  131  190  229  290  327  390
    6   83  107  183  207  283  308  383
   37   57  139  156  241  255  343  354
   35   53  136  154  237  256  337  357
   43   80  144  181  245  282  346  383
   30   93  130  193  230  293  330  393
    8   90  109  190  210  291  311  391
   47   50  147  150  247  250  346  350
   14   84  113  183  213  283  313  383
   44   53  145  154  246  254  347  355
   47   55  147  155  247  255  347  355
   37   97  137  197  237  297  337  397
   13   56  113  156  213  256  314  356
    9   94  109  194  209  294  309  394
   33   86  131  185  230  284  328  383
   49   57  147  159  246  260  345  362
   45   93  146  193  246  293  347  393
    9   75  109  175  208  276  307  377
   40   76  140  175  240  275  339  375
   29   53  129  153  230  253  330  353
   20   69  122  166  263  327  359  360
   16   62  108  109  162  201  202  262
   12   62  112  160  213  259  313  357
   23   63  161  228  259  330  331  357
   29   50  129  150  230  250  330  350
    6   65  106  165  206  265  306  365
   18   69  117  170  215  270  314  371
    2   97  102  197  202  296  302  396
   22   23   93  195  227  297  329  399
   19   62  119  159  218  256  318  353
   13   84  114  185  214  286  314  387
   38   61  138  160  238  260  338  359
   49   92  145  192  240  292  336  392
    4   96  104  196  204  297  304  398
   10   82  110  183  210  283  310  383
    6   53  107  154  207  256  307  357
   27   95  128  194  228  294  329  394
   42   74  141  172  240  270  339  368
   22   84  122  183  221  281  320  380
   34   51  135  152  236  253  337  354
   15   79  115  177  215  276  315  374
   10   71  109  173  208  275  307  377
   36   96  136  196  236  296  336  396
   46   84  146  184  246  284  346  384
   46   90  145  190  244  290  343  391
   33   90  132  191  232  292  332  392
   31   82  131  182  231  282  331  382
   17   69  112  170  207  270  302  371
   20   75  119  174  219  273  319  372
    7    8   71   72  101  102  178  179
   19   95  118  194  217  294  316  393
   24   59  160  226  260  326  327  360
   34   81  132  182  231  282  329  383
   26   50  127  153  228  257  329  360
   40   70   71  143  176  246  247  282
